x	LabelValueMeaning	Referentiel	url	TypeConceptualDomain	FormatConceptualDomain	IdDataElementConcept	ConceptualDomain	ObjectClass	ObjectProperty	DataElementConcept
				nonEnumerated	String	C1		Patient	Id	Patient_Id
HL7:M	Male	FHIR (HL7) v3	http://hl7.org/fhir/v3/AdministrativeGender	Enumerated	String	C2	HL7 v3 Code System AdministrativeGender	Patient	Gender	Patient_Gender
HL7:F	Female	FHIR (HL7) v3	http://hl7.org/fhir/v3/AdministrativeGender	Enumerated	String	C2	HL7 v3 Code System AdministrativeGender	Patient	Gender	Patient_Gender
HL7:UN	Undifferentiated	FHIR (HL7) v3	http://hl7.org/fhir/v3/AdministrativeGender	Enumerated	String	C2	HL7 v3 Code System AdministrativeGender	Patient	Gender	Patient_Gender
HL7:1002-5	American Indian or Alaska Native	FHIR (HL7) v3	https://www.hl7.org/fhir/v3/Race	Enumerated	String	C3	HL7 v3 Code System Race	Patient	Ethnicity	Patient_Ethnicity
HL7:1004-1	American Indian	FHIR (HL7) v3	https://www.hl7.org/fhir/v3/Race	Enumerated	String	C3	HL7 v3 Code System Race	Patient	Ethnicity	Patient_Ethnicity
HL7:2028-9	Asian	FHIR (HL7) v3	https://www.hl7.org/fhir/v3/Race	Enumerated	String	C3	HL7 v3 Code System Race	Patient	Ethnicity	Patient_Ethnicity
HL7:2029-7	Asian Indian	FHIR (HL7) v3	https://www.hl7.org/fhir/v3/Race	Enumerated	String	C3	HL7 v3 Code System Race	Patient	Ethnicity	Patient_Ethnicity
HL7:2030-5	Bangladeshi	FHIR (HL7) v3	https://www.hl7.org/fhir/v3/Race	Enumerated	String	C3	HL7 v3 Code System Race	Patient	Ethnicity	Patient_Ethnicity
HL7:2031-3	Bhutanese	FHIR (HL7) v3	https://www.hl7.org/fhir/v3/Race	Enumerated	String	C3	HL7 v3 Code System Race	Patient	Ethnicity	Patient_Ethnicity
HL7:2032-1	Burmese	FHIR (HL7) v3	https://www.hl7.org/fhir/v3/Race	Enumerated	String	C3	HL7 v3 Code System Race	Patient	Ethnicity	Patient_Ethnicity
HL7:2033-9	Cambodian	FHIR (HL7) v3	https://www.hl7.org/fhir/v3/Race	Enumerated	String	C3	HL7 v3 Code System Race	Patient	Ethnicity	Patient_Ethnicity
HL7:2034-7	Chinese	FHIR (HL7) v3	https://www.hl7.org/fhir/v3/Race	Enumerated	String	C3	HL7 v3 Code System Race	Patient	Ethnicity	Patient_Ethnicity
HL7:2035-4	Taiwanese	FHIR (HL7) v3	https://www.hl7.org/fhir/v3/Race	Enumerated	String	C3	HL7 v3 Code System Race	Patient	Ethnicity	Patient_Ethnicity
HL7:2036-2	Filipino	FHIR (HL7) v3	https://www.hl7.org/fhir/v3/Race	Enumerated	String	C3	HL7 v3 Code System Race	Patient	Ethnicity	Patient_Ethnicity
HL7:2037-0	Hmong	FHIR (HL7) v3	https://www.hl7.org/fhir/v3/Race	Enumerated	String	C3	HL7 v3 Code System Race	Patient	Ethnicity	Patient_Ethnicity
HL7:2038-8	Indonesian	FHIR (HL7) v3	https://www.hl7.org/fhir/v3/Race	Enumerated	String	C3	HL7 v3 Code System Race	Patient	Ethnicity	Patient_Ethnicity
HL7:2039-6	Japanese	FHIR (HL7) v3	https://www.hl7.org/fhir/v3/Race	Enumerated	String	C3	HL7 v3 Code System Race	Patient	Ethnicity	Patient_Ethnicity
